,date,dewpoint,et_loss,ndvi,precipitation,radiation,sca,dd,temp,runoff
0,2000-06-30,270.2741110597895,0.0353844943073007,0.1678946543780428,1.0812647176337309,8552.215166915506,15695.091987669004,0.0,253.92469640138876,1.0097778915509417
1,2000-07-31,275.63490710324055,0.005471431283167,0.2148348214396578,2.0744226409723656,8945.476525686356,6188.4349626529065,0.0,251.86571943711655,0.5430378790517398
2,2000-08-31,273.6433629233428,0.0164861403903494,0.1717952136350174,1.2085435300055776,8787.250911339825,10114.130241438372,0.0,256.91356925579964,0.373699950289598
3,2000-09-30,266.7808440981595,0.0405313068487491,0.1483839165377211,0.8577587729066728,7687.016191828093,12888.810599153408,0.0,263.0944858194653,0.1961650463254396
4,2000-10-31,259.41286168202845,0.0299505905710218,0.1131287211086795,0.2312643769335484,5685.865842266184,19583.6237360288,0.0,271.55196378198093,0.145426272929367
5,2000-11-30,253.0906922677464,0.0876810382934233,0.3320885257510854,0.1611513075638732,3036.9505923269585,21183.674218299217,3.271130427354933,276.27113042735493,0.0867781820761666
6,2000-12-31,247.38978880792897,0.0260666074272149,0.3203468802360703,0.1754265244972698,1635.3067353809588,36902.80038527945,7.535170066395835,280.53517006639584,0.0573781217081578
7,2001-01-31,245.38554585719783,0.0433464717450337,0.3124862520323528,0.0634523596093306,1916.2051051336316,35286.36877045779,5.745642989279702,278.7456429892797,0.0433259821989374
8,2001-02-28,249.2473119346048,0.0358782074326154,0.2774319003761967,0.1220056982835666,1990.0037645108805,25131.303245473955,1.499668988330427,274.4996689883304,0.0357438403694921
9,2001-03-31,250.23854222954188,0.092486794979281,0.3164212627611242,0.3493435565219147,3030.571861605695,46124.160930939994,0.0,266.7276855263752,0.0442212781877361
10,2001-04-30,259.3900165242574,0.0950702551771889,0.3554681893572734,0.5107918804468873,3730.624550810244,34841.22505249145,0.0,259.42624733340483,0.1609599564886278
11,2001-05-31,263.82585785581125,0.0657914072593026,0.1913586948138564,0.4138044061910513,6587.419005143819,37103.59271544621,0.0,253.82108587667025,1.2425642312506542
12,2001-06-30,270.5804715324264,0.0230754338284519,0.1327212680037459,1.281268952400246,8710.314212859943,19325.23853833783,0.0,251.74864208705276,1.2673529613262262
13,2001-07-31,274.91911962399166,0.0098031259058831,0.1874310531614686,2.6706397193985345,8963.744604933201,10008.670846816332,0.0,254.3582439281276,0.5072392195717794
14,2001-08-31,272.76082113438775,0.0177139502387846,0.1445019754873308,0.9865595609760864,9263.307578980774,9942.814732815174,0.0,256.9474474479789,0.3276295403560473
15,2001-09-30,265.7378202687511,0.0435392771515757,0.1483762723075484,0.6869957229947437,7476.27833766737,14999.81931449766,0.0,264.09377327539084,0.1718218104418142
16,2001-10-31,258.7303669070828,0.0428158900013432,0.1287250165029123,0.260683156203153,5959.298978522101,27495.641844724003,0.0,270.3951432447528,0.1205568556888747
17,2001-11-30,250.55180815080448,0.0416246328588295,0.2461038497766724,0.386428175572036,2338.3174382358116,52083.95941703486,3.984160404316185,276.9841604043162,0.0718577320330339
