date,runoff
2000-06-30,1.0097778915509417
2000-07-31,0.5430378790517398
2000-08-31,0.373699950289598
2000-09-30,0.1961650463254396
2000-10-31,0.145426272929367
2000-11-30,0.0867781820761666
2000-12-31,0.0573781217081578
2001-01-31,0.0433259821989374
2001-02-28,0.0357438403694921
2001-03-31,0.0442212781877361
2001-04-30,0.1609599564886278
2001-05-31,1.2425642312506542
2001-06-30,1.2673529613262262
2001-07-31,0.5072392195717794
2001-08-31,0.3276295403560473
2001-09-30,0.1718218104418142
2001-10-31,0.1205568556888747
2001-11-30,0.0718577320330339
2001-12-31,0.051109314050382604
2002-01-31,0.041371409083789897
2002-02-28,0.037981893433364
2002-03-31,0.0635250800167453
2002-04-30,0.1386185560422356
2002-05-31,0.8008824555610912
2002-06-30,2.3618068087480437
2002-07-31,1.4205137622206219
2002-08-31,0.6848249952612615
2002-09-30,0.2189327152176449
2002-10-31,0.1203472671187732
2002-11-30,0.0860894514069347
2002-12-31,0.0533557259688413
2003-01-31,0.0397732950925826
2003-02-28,0.059926026624745804
2003-03-31,0.1057331736457513
2003-04-30,0.1720508468312891
2003-05-31,0.4570898684463991
2003-06-30,3.15643104681514
2003-07-31,2.5781548797566907
2003-08-31,0.5566426550254445
2003-09-30,0.2579506215035075
2003-10-31,0.1300952815579312
2003-11-30,0.083085716797833
2003-12-31,0.0596369178433751
2004-01-31,0.0564287183556663
2004-02-29,0.0592282326087821
2004-03-31,0.1121709027842792
2004-04-30,0.2089820724629145
2004-05-31,0.7514610329262847
2004-06-30,2.5439870540408775
2004-07-31,1.4166079397508644
2004-08-31,0.4337008693612865
2004-09-30,0.1951980878412968
2004-10-31,0.1268366712389052
2004-11-30,0.0735925036049965
2004-12-31,0.0599531584645416
2005-01-31,0.0423201391024118
2005-02-28,0.0906470217038826
2005-03-31,0.164449707352211
2005-04-30,0.1937890148764188
2005-05-31,0.5769160855829065
2005-06-30,2.9363729846616278
2005-07-31,3.239122918340813
2005-08-31,0.5943960988317138
2005-09-30,0.2155879033328365
2005-10-31,0.1225947176740532
2005-11-30,0.0731447317326939
2005-12-31,0.0498865604400357
2006-01-31,0.0387645895095019
2006-02-28,0.0463037781847968
2006-03-31,0.052769504984697
2006-04-30,0.1240713939858569
2006-05-31,2.567862905547402
2006-06-30,1.9862597300273492
2006-07-31,0.9372421081481346
2006-08-31,0.7608739905076406
2006-09-30,0.2870149341694665
2006-10-31,0.1516082430591993
2006-11-30,0.0965599091233088
2006-12-31,0.0728975718950856
2007-01-31,0.0486881912116715
2007-02-28,0.0581633213450214
2007-03-31,0.15838020164518352
2007-04-30,0.5380538654282068
2007-05-31,1.9197849477342677
2007-06-30,1.7980609604698732
2007-07-31,0.6668966540448582
2007-08-31,0.4788465055314413
2007-09-30,0.234487753996947
2007-10-31,0.1266324775796154
2007-11-30,0.08377345812876069
2007-12-31,0.0541970899777132
2008-01-31,0.0456637338044183
2008-02-29,0.035135585061649
2008-03-31,0.0608456206600293
2008-04-30,0.1815755618120163
2008-05-31,1.619031943862517
2008-06-30,1.9278638124573437
2008-07-31,0.4484744036257286
2008-08-31,0.35154092898707423
2008-09-30,0.17955195994727619
2008-10-31,0.1157048769742734
2008-11-30,0.0769897754560822
2008-12-31,0.0593266610529783
2009-01-31,0.0453562583874274
2009-02-28,0.0588179901123041
2009-03-31,0.0862946706657231
2009-04-30,0.1546177688911858
2009-05-31,0.7492235409167971
2009-06-30,2.470290093138217
2009-07-31,2.807922979403122
2009-08-31,0.7470607389569838
2009-09-30,0.1939912231923357
2009-10-31,0.1228072347592129
2009-11-30,0.0678603212919282
2009-12-31,0.0422048269632951
2010-01-31,0.0322592196059131
2010-02-28,0.0641203708307568
2010-03-31,0.1093525367150229
2010-04-30,0.2378140702427497
2010-05-31,0.7608917796968477
2010-06-30,1.7563584348092443
2010-07-31,3.5277914289936816
2010-08-31,1.5927149972179468
2010-09-30,0.3407922692874495
2010-10-31,0.1665523596811578
2010-11-30,0.1149712174479964
2010-12-31,0.0668216363319229
2011-01-31,0.0347514655307259
2011-02-28,0.0445063438511012
2011-03-31,0.07199734110096159
2011-04-30,0.138790036383736
2011-05-31,1.2473634717338213
2011-06-30,2.412643000654975
2011-07-31,0.8042207280565206
2011-08-31,0.3683505866695259
2011-09-30,0.2843054369173534
2011-10-31,0.1398106838667981
2011-11-30,0.0852784115384315
2011-12-31,0.0578333604767555
2012-01-31,0.0414265173780687
2012-02-29,0.0399906329498362
2012-03-31,0.0903562997625996
2012-04-30,0.1915606047181825
2012-05-31,0.801272847777212
2012-06-30,2.086374456618454
2012-07-31,1.7372651048484524
2012-08-31,0.468936640282202
2012-09-30,0.3599244380028281
2012-10-31,0.1588497243923306
2012-11-30,0.1000741394211912
2012-12-31,0.0606431044614514
2013-01-31,0.0431789662216004
2013-02-28,0.0650394444140578
2013-03-31,0.0879847076775119
2013-04-30,0.157247155551737
2013-05-31,0.6629014430915581
2013-06-30,2.5348533303814693
2013-07-31,1.6740972923165263
2013-08-31,0.6735776293989709
2013-09-30,0.2083216018058146
2013-10-31,0.1357154438454467
2013-11-30,0.0850933638613489
2013-12-31,0.0601894964068021
2014-01-31,0.0388989315245505
2014-02-28,0.0313880115714677
2014-03-31,0.0845777258311672
2014-04-30,0.1178738375937309
2014-05-31,0.9898466195984906
2014-06-30,2.2462363653718733
2014-07-31,1.460724628639443
2014-08-31,0.3413842883666101
2014-09-30,0.35716055737067687
2014-10-31,0.1664582472076822
2014-11-30,0.0954306425627538
2014-12-31,0.06640151658806209
2015-01-31,0.0489953527431325
2015-02-28,0.0566040103229741
2015-03-31,0.0895160691137969
2015-04-30,0.2039634105709602
2015-05-31,0.9240564791679391
2015-06-30,2.034189955119783
2015-07-31,2.566650278614011
2015-08-31,0.6333628046478715
2015-09-30,0.2286869293076366
2015-10-31,0.1627723725356549
2015-11-30,0.10689907080276109
2015-12-31,0.0736313979998294
2016-01-31,0.06091925535051
2016-02-29,0.054182316927235
2016-03-31,0.1447470132382716
2016-04-30,0.2620465533759482
2016-05-31,1.26239042302204
2016-06-30,3.2715109685821107
2016-07-31,1.03833361124809
2016-08-31,0.4568154394367242
2016-09-30,0.2219535357117369
2016-10-31,0.1492272097796819
2016-11-30,0.0879149304631667
2016-12-31,0.0593512550508553
2017-01-31,0.0502744609699321
2017-02-28,0.0501734184664802
2017-03-31,0.0643042694667978
2017-04-30,0.221951571287286
2017-05-31,1.9957972820457013
2017-06-30,2.5506573489763444
2017-07-31,1.3515245142255132
2017-08-31,0.4583616177853094
2017-09-30,0.2352683840720086
2017-10-31,0.1540839366861737
2017-11-30,0.0946695950510187
2017-12-31,0.0610074102622321
2018-01-31,0.0407574826147855
2018-02-28,0.0308310044596503
2018-03-31,0.0649134295294175
2018-04-30,0.2183028672756515
2018-05-31,0.4780087983031532
2018-06-30,2.200167462848856
2018-07-31,1.2320716364172715
2018-08-31,0.3714695324799861
2018-09-30,0.2041944934419113
2018-10-31,0.1284860159654589
2018-11-30,0.0715056372736238
2018-12-31,0.0520741917493423
2019-01-31,0.046019290079633
2019-02-28,0.0485634046609844
2019-03-31,0.0770957104916221
2019-04-30,0.362792989881177
2019-05-31,0.7797578856058935
2019-06-30,1.2737471035063228
2019-07-31,2.8531972381952584
2019-08-31,0.7409189682845014
2019-09-30,0.1773562103642402
2019-10-31,0.1295612850014751
2019-11-30,0.075868062612616
2019-12-31,0.0490034445984707
2020-01-31,0.0439114313681588
2020-02-29,0.043194456952141504
2020-03-31,0.0887348375089882
2020-04-30,0.22196758991862559
2020-05-31,1.2560116895327162
2020-06-30,2.500213377523418
2020-07-31,0.9860391605696018
2020-08-31,0.4826216482929989
2020-09-30,0.3041373663203083
2020-10-31,0.1480503238996259
2020-11-30,0.0931320516194418
2020-12-31,0.0638550693673272
2021-01-31,0.0493786836107351
2021-02-28,0.047626585139404
2021-03-31,0.0898602910461729
2021-04-30,0.1156542890833421
2021-05-31,1.3490284939409893
2021-06-30,2.3277751697156357
2021-07-31,1.4418651776342177
2021-08-31,0.4222031354961113
2021-09-30,0.2035760504993989
2021-10-31,0.143840798511572
2021-11-30,0.0752312080229343
2021-12-31,0.0577591882559731
2022-01-31,0.052529381976574696
2022-02-28,0.0440261245209877
2022-03-31,0.1034517564485816
2022-04-30,0.5295578146975286
2022-05-31,1.2864804484910266
2022-06-30,1.0163136643774173
2022-07-31,0.7700012002337203
2022-08-31,0.7017956852255702
2022-09-30,0.2629484258963818
2022-10-31,0.1794622493999873
2022-11-30,0.1002245189344416
2022-12-31,0.0689092272375789
2023-01-31,0.0564323515338721
2023-02-28,0.0550028447254945
2023-03-31,0.0878785458264873
2023-04-30,0.1611683084802835
2023-05-31,0.46957492562637587
2023-06-30,2.6521500222311656
2023-07-31,2.0335921642491375
2023-08-31,0.4703592181055746
2023-09-30,0.2037721957730677
2023-10-31,0.1514391930129958
2023-11-30,0.0941113765662926
2023-12-31,0.0701596902063744
2024-01-31,0.0596133176603366
2024-02-29,0.0376957801625543
2024-03-31,0.0782008069438675
2024-04-30,0.2318182515335933
2024-05-31,1.3214808529065272
2024-06-30,2.0825665953742947
2024-07-31,0.7046831993622222
2024-08-31,0.48293115028634187
2024-09-30,0.236098116174807
2024-10-31,0.1415206895332023
2024-11-30,0.0902779356221892
2024-12-31,0.06128852906036
2025-01-31,0.044636175224303604
2025-02-28,0.0463324824390521
2025-03-31,0.0609757496689511
2025-04-30,0.2783125065603393
2025-05-31,2.0147089129523144
2025-06-30,1.5540004245344599
2025-07-31,0.8214199057503804
2025-08-31,0.5079257752890531
2025-09-30,0.2685065597858914
2025-10-31,0.1591460503635335
2025-11-30,0.0973316349012119
