date,max_temp,min_temp,temp_mean
2000-06-30,281.26686609891357,269.6594779562975,276.27113042735493
2000-07-31,284.9152979291142,275.5732963385789,280.53517006639584
2000-08-31,283.48898416266394,272.9573327078157,278.7456429892797
2000-09-30,279.90386455448896,268.1158318328482,274.4996689883304
2000-10-31,272.6186254315754,260.20886371246655,266.7276855263752
2000-11-30,264.1126527428145,253.7917743016517,259.42624733340483
2000-12-31,257.93652419263896,248.9631037193109,253.82108587667022
2001-01-31,256.1384364801301,247.20288834257934,251.74864208705276
2001-02-28,258.8053271236586,249.1965243805897,254.3582439281276
2001-03-31,262.3283652714682,250.88231278579622,256.9474474479789
2001-04-30,269.2152238826824,257.5721536059359,264.09377327539084
2001-05-31,275.7259128506779,263.44435794122194,270.3951432447528
2001-06-30,281.91914276754466,270.59126927339764,276.9841604043162
2001-07-31,285.19136786697345,275.5635078818843,280.7634784965347
2001-08-31,284.38915712726566,273.4557847088869,279.38968524060186
2001-09-30,278.36499395081336,266.283199191604,272.8481925797167
2001-10-31,272.48011200079236,260.0147925512262,266.5569959527122
2001-11-30,262.53855246457516,252.39400286142205,257.55977965038096
2001-12-31,258.3148215185474,250.15486044089081,254.65721509634295
2002-01-31,255.5347801547966,247.2594569652066,251.39072048640065
2002-02-28,258.4813010527272,249.90265857803524,254.54781594923978
2002-03-31,263.27608735066383,253.64458824066446,258.7043359777162
2002-04-30,268.57445782234805,258.2272730395768,264.05186751960014
2002-05-31,273.36886057375676,261.76186962128577,268.2840899771366
2002-06-30,279.07354324613823,266.9825055552621,273.96618675518914
2002-07-31,283.4701644226409,272.37604901249455,278.5252249018418
2002-08-31,284.8067932644753,275.09861605101344,280.2843901727174
2002-09-30,277.4274136164628,266.0761755255966,272.2758695102224
2002-10-31,273.4142465354987,261.15473698799303,267.7028023732588
2002-11-30,267.0825800116009,254.65981213314888,261.0686744788041
2002-12-31,259.576188956595,251.14679942556728,255.59836577316253
2003-01-31,258.9530296799237,249.3121033125197,254.32535918175782
2003-02-28,258.837163405802,251.5033214589292,255.44000380985102
2003-03-31,262.2797452680801,252.991515364692,258.1569640500401
2003-04-30,268.30077191172876,257.9522672593752,263.66458357849933
2003-05-31,270.16288047377435,258.78208793012993,265.2104878100671
2003-06-30,277.94204838691934,265.5677382541853,272.6369144589979
2003-07-31,284.6172272084678,273.172214080149,279.5922921303267
2003-08-31,283.8756262942393,273.74012293768186,279.22170298632034
2003-09-30,279.8618551348447,268.96618582258907,274.8570968519214
2003-10-31,270.12081421805306,257.2832739990669,263.947306904501
2003-11-30,262.7648513704722,252.79974990094496,257.98413351189737
2003-12-31,258.39993973304786,249.7009749852429,254.36885386871742
2004-01-31,257.1635171397194,249.70845208989067,253.8680980378547
2004-02-29,258.4802823750883,250.05532953610984,254.50504356721217
2004-03-31,265.49044819219563,255.37540619462817,260.70172392848366
2004-04-30,269.85361468685255,259.06593162084596,265.0723838496773
2004-05-31,272.8651651867872,260.8556202684433,267.62345505103946
2004-06-30,278.5712036227698,266.7729502067859,273.49294218893925
2004-07-31,283.39914087412143,272.08184147532785,278.36975823686
2004-08-31,283.6639958021459,272.8969414132453,278.6922417179478
2004-09-30,280.6231517415766,268.4640087018143,275.0503072639454
2004-10-31,267.70665432775763,255.79483913753768,262.2573915952076
2004-11-30,263.54093930961733,252.05702693048582,258.00204972463354
2004-12-31,260.35285140475804,251.8796686587877,256.4849916992062
2005-01-31,255.48500635428096,247.80861331841626,252.05280257929988
2005-02-28,258.6030847344228,252.52397383109692,255.78028239379165
