date,max_temp,min_temp,temp_mean
2000-01-01,262.3284735134399,249.65678259048235,255.51277574424208
2000-01-02,263.08087986382816,250.5961135855836,256.0913241534642
2000-01-03,262.8150359526897,250.2314863620882,255.71702099233227
2000-01-04,263.0038662023986,249.78029826578592,255.69465960399103
2000-01-05,262.12138736719754,249.62804787005143,255.18609260585205
2000-01-06,262.6324786221193,250.15599912298282,256.16309903727506
2000-01-07,262.90091447789825,251.65018065005356,257.86087662849917
2000-01-08,263.36286360257566,255.192167952768,259.2140187420251
2000-01-09,261.20815728495637,253.46066643079996,257.71541304614425
2000-01-10,258.68093643616663,251.06022219744514,254.7819373710331
2000-01-11,259.67927908816444,253.41551450224097,257.3212215194248
2000-01-12,261.01857160943774,257.10081854420264,259.28845890417745
2000-01-13,259.75939063583974,253.36563641893753,257.027452629351
2000-01-14,256.92212428206307,250.0014245178793,253.80107856880034
2000-01-15,254.10154753545726,244.7314829842873,250.11116869700268
2000-01-16,250.68247858389407,242.63594809164132,246.45393501852615
2000-01-17,253.4517131714874,243.48037072872913,249.5813554414975
2000-01-18,259.2034235738999,250.9910287440564,256.4182399317997
2000-01-19,259.8645747041574,248.9781187148312,255.98569225676593
2000-01-20,254.39571620369566,245.423152726649,250.329493714029
2000-01-21,253.77512978946558,246.5835978094362,250.52209792154216
2000-01-22,254.86558486752674,247.60954190732386,251.25236215994562
2000-01-23,254.03313914192748,246.22351530362872,250.01518895225007
2000-01-24,253.85180540363913,245.91656620839152,250.5002756332198
2000-01-25,256.60155813028683,249.12891311868435,253.61648403854966
2000-01-26,258.3773696374306,248.3821800237082,253.99880891657907
2000-01-27,255.01260578922802,244.73147452805506,250.1750234198015
2000-01-28,253.08880776703418,243.99432690124075,248.631844863786
2000-01-29,255.11756706650374,246.0319124738725,250.85633087306044
2000-01-30,259.0785795006822,249.38276728306582,255.01352842767676
2000-01-31,260.0035302250559,253.26871969972137,256.82832863040704
2000-02-01,258.93761855059495,252.6475104192228,256.0403300435465
2000-02-02,257.43470536838083,250.56643647100088,254.0420528412261
2000-02-03,257.2557302645376,250.57362090844438,253.988299787665
2000-02-04,257.5905196874459,249.23703298540855,253.8197552000844
2000-02-05,257.29222103290743,249.35202250114102,253.45303340954624
2000-02-06,256.33091345905854,245.44561267652279,251.51988501939806
2000-02-07,254.74802824156754,244.66674558436964,249.77078339384644
2000-02-08,254.81940522994194,245.70843464675403,250.16255579162538
2000-02-09,255.91027135865855,247.433509807976,252.79356479835758
2000-02-10,257.87443097054313,251.34522000082706,254.5426540282873
2000-02-11,257.39044117803127,246.3919313085984,252.97500313548656
2000-02-12,254.7907964774719,244.42702599453526,249.83406819407318
2000-02-13,252.8817146983484,243.58368641921678,248.10143992864352
2000-02-14,253.1310842808425,243.6279151217144,249.04127012798992
2000-02-15,257.9650882426905,249.49065065513844,254.51151380802128
2000-02-16,258.06752864486333,250.21625937976987,254.4356875249421
2000-02-17,256.9302880211272,247.72991982686213,252.45193842418595
2000-02-18,255.2739054771876,245.26657526046284,250.41159811166656
