,date,et_loss
0,2000-06-30,0.03538449430730071
1,2000-07-31,0.005471431283167033
2,2000-08-31,0.01648614039034947
3,2000-09-30,0.04053130684874916
4,2000-10-31,0.029950590571021816
5,2000-11-30,0.08768103829342332
6,2000-12-31,0.026066607427214977
7,2001-01-31,0.043346471745033775
8,2001-02-28,0.035878207432615404
9,2001-03-31,0.09248679497928104
10,2001-04-30,0.09507025517718898
11,2001-05-31,0.06579140725930269
12,2001-06-30,0.023075433828451994
13,2001-07-31,0.00980312590588313
14,2001-08-31,0.01771395023878469
15,2001-09-30,0.043539277151575795
16,2001-10-31,0.042815890001343275
17,2001-11-30,0.04162463285882953
18,2001-12-31,0.020735360241468843
19,2002-01-31,0.043886169074807226
20,2002-02-28,0.03259488266049106
21,2002-03-31,0.08931481664753194
22,2002-04-30,0.07918143385338078
23,2002-05-31,0.07401466332108521
24,2002-06-30,0.04789431301672533
25,2002-07-31,0.027577504430025285
26,2002-08-31,0.007843755622526085
27,2002-09-30,0.06791882415062904
28,2002-10-31,0.0693711189794489
29,2002-11-30,0.043560222581456746
30,2002-12-31,0.006568852798931349
31,2003-01-31,0.03191703705069931
32,2003-02-28,0.01953746164987966
33,2003-03-31,0.06121720444767272
34,2003-04-30,0.0910709833219325
35,2003-05-31,0.09269051816843817
36,2003-06-30,0.08629452953800751
37,2003-07-31,0.020105496157726135
38,2003-08-31,0.022887572290256585
39,2003-09-30,0.02785034359986603
40,2003-10-31,0.04078590339002989
41,2003-11-30,0.022925657769663665
42,2003-12-31,0.006193675874341196
43,2004-01-31,0.010240332489087943
44,2004-02-29,0.04824864096290794
45,2004-03-31,0.0976413789043968
46,2004-04-30,0.07698434559186045
47,2004-05-31,0.097660193280486
48,2004-06-30,0.068168882537653
49,2004-07-31,0.04589125833997786
50,2004-08-31,0.026569180602129143
51,2004-09-30,0.06882306561445724
52,2004-10-31,0.04088011589306205
53,2004-11-30,0.0354402694814594
54,2004-12-31,0.028451712924212596
55,2005-01-31,0.01716783584150662
56,2005-02-28,0.005710386297206869
57,2005-03-31,0.06533318730988773
58,2005-04-30,0.11304107757272594
59,2005-05-31,0.11286807435044813
60,2005-06-30,0.0640278633683095
61,2005-07-31,0.01596024786659359
62,2005-08-31,0.03263007404884724
63,2005-09-30,0.04557958879760902
64,2005-10-31,0.042144271058083056
65,2005-11-30,0.02060318646435353
66,2005-12-31,0.011860416618039946
67,2006-01-31,0.00000000004253430168612066
68,2006-02-28,0.015126461324829577
69,2006-03-31,0.09118658380853961
70,2006-04-30,0.10986534194911564
71,2006-05-31,0.06913102881879876
72,2006-06-30,0.05383632523251556
73,2006-07-31,0.01661815507861561
74,2006-08-31,0.0010796908485167739
75,2006-09-30,0.04168363675100239
76,2006-10-31,0.05244360890036707
77,2006-11-30,0.04836797486556705
78,2006-12-31,0.009320009729903475
79,2007-01-31,0.034190559119068646
80,2007-02-28,0.043183547221523254
81,2007-03-31,0.06954245287776817
82,2007-04-30,0.13121828449665396
83,2007-05-31,0.0873651112011482
84,2007-06-30,0.04371027041476551
85,2007-07-31,0.022525647171764855
86,2007-08-31,0.01740264914386156
87,2007-09-30,0.035447554161351216
88,2007-10-31,0.0693745243618982
89,2007-11-30,0.046298721315165284
90,2007-12-31,0.013713642867679397
91,2008-01-31,0.005765449961857263
92,2008-02-29,0.036046751858072164
93,2008-03-31,0.10674364803804293
94,2008-04-30,0.10190739424585354
95,2008-05-31,0.08375204880905038
96,2008-06-30,0.04247934365416372
97,2008-07-31,0.017244638456721684
98,2008-08-31,0.014697043415607507
99,2008-09-30,0.05623671882372804
100,2008-10-31,0.05753836013237834
101,2008-11-30,0.02603023213674489
102,2008-12-31,0.02269482490898413
103,2009-01-31,0.007251854309510863
104,2009-02-28,0.016798777256676296
105,2009-03-31,0.08041368371047539
106,2009-04-30,0.08390222962649012
107,2009-05-31,0.09024719856677
108,2009-06-30,0.054339426848816486
109,2009-07-31,0.034670410450336406
110,2009-08-31,0.03641062358446109
111,2009-09-30,0.045157013055557894
112,2009-10-31,0.0475815013817622
113,2009-11-30,0.043892866089273445
114,2009-12-31,0.014806863328638592
115,2010-01-31,0.03599727702878586
116,2010-02-28,0.01167156954945537
117,2010-03-31,0.08931731536528552
118,2010-04-30,0.08057468992394638
119,2010-05-31,0.08177470769246713
120,2010-06-30,0.08041239232361963
121,2010-07-31,0.025288950208889348
122,2010-08-31,0.0021966887833042054
123,2010-09-30,0.03974572473059434
124,2010-10-31,0.06921048743693356
125,2010-11-30,0.06151177454848111
126,2010-12-31,0.03871692352311104
127,2011-01-31,0.039489646372564365
128,2011-02-28,0.010798880149772296
129,2011-03-31,0.08068382883087111
130,2011-04-30,0.11991815357962715
131,2011-05-31,0.10760704912417107
132,2011-06-30,0.04772947584538082
133,2011-07-31,0.021941367821376137
134,2011-08-31,0.016617244499166864
135,2011-09-30,0.03103375313727478
136,2011-10-31,0.032591497424926855
137,2011-11-30,0.012519094199242456
138,2011-12-31,0.008633591499178351
139,2012-01-31,0.015760405035971096
140,2012-02-29,0.022978419055410548
141,2012-03-31,0.05186815597518808
142,2012-04-30,0.1115517039403145
143,2012-05-31,0.0939834216618144
144,2012-06-30,0.06047835736021112
145,2012-07-31,0.036531433096415544
146,2012-08-31,0.012019373827192318
147,2012-09-30,0.024171832311675218
148,2012-10-31,0.044093920477700554
149,2012-11-30,0.022361422681958218
150,2012-12-31,0.020730738806535937
151,2013-01-31,0.025361488518346558
152,2013-02-28,0.02231006080494532
153,2013-03-31,0.09880243968371566
154,2013-04-30,0.117801039698422
155,2013-05-31,0.08713798714894797
156,2013-06-30,0.05972262666157927
157,2013-07-31,0.021528401950793117
158,2013-08-31,0.004232024259077964
159,2013-09-30,0.04710510211151469
160,2013-10-31,0.061408294680299624
161,2013-11-30,0.022453337764105505
162,2013-12-31,0.010125098089727596
163,2014-01-31,0.04481434740045684
164,2014-02-28,0.030256946284206263
165,2014-03-31,0.061858432435983074
166,2014-04-30,0.09604888490883069
167,2014-05-31,0.06946089375705755
168,2014-06-30,0.05727137234648178
169,2014-07-31,0.01693441137060447
170,2014-08-31,0.035109953327743276
171,2014-09-30,0.0390705774187747
172,2014-10-31,0.03275251786250465
173,2014-11-30,0.023318660156829076
174,2014-12-31,0.023598480800318865
175,2015-01-31,0.031482115127435525
176,2015-02-28,0.021992441966879075
177,2015-03-31,0.07308457910017599
178,2015-04-30,0.12199767458633369
179,2015-05-31,0.14504663797265444
180,2015-06-30,0.0760542285511204
181,2015-07-31,0.0059142998357512
182,2015-08-31,0.024902715568165264
183,2015-09-30,0.05960466375803208
184,2015-10-31,0.061158838288097615
185,2015-11-30,0.013837686318739667
186,2015-12-31,0.027949326923809963
187,2016-01-31,0.04604418887832794
188,2016-02-29,0.06320750246447138
189,2016-03-31,0.0907832611378805
190,2016-04-30,0.10029400479123741
191,2016-05-31,0.08640862654274586
192,2016-06-30,0.03869814895414214
193,2016-07-31,0.016617156738635293
194,2016-08-31,0.014934256283275252
195,2016-09-30,0.04684314080193451
196,2016-10-31,0.047473607375885685
197,2016-11-30,0.02084698921877272
198,2016-12-31,0.009332849074613738
199,2017-01-31,0.011036805705406058
200,2017-02-28,0.02134271005919412
201,2017-03-31,0.07811389836020423
202,2017-04-30,0.1036587563276023
203,2017-05-31,0.11368982007071349
204,2017-06-30,0.07449628738101643
205,2017-07-31,0.004107743490424774
206,2017-08-31,0.019851838821259418
207,2017-09-30,0.03895671913417016
208,2017-10-31,0.04917518874120294
209,2017-11-30,0.04928331891157376
210,2017-12-31,0.022437076026130515
211,2018-01-31,0.04292721610129804
212,2018-02-28,0.034989336003494804
213,2018-03-31,0.09852125136975502
214,2018-04-30,0.0970396599978758
215,2018-05-31,0.06811902478607097
216,2018-06-30,0.05060852758793812
217,2018-07-31,0.008317657269317436
218,2018-08-31,0.01174745276326409
219,2018-09-30,0.08684033722379167
220,2018-10-31,0.10649166716420115
221,2018-11-30,0.03655147790830687
222,2018-12-31,0.037170465330398264
223,2019-01-31,0.009164246484627228
224,2019-02-28,0.01723963571973905
225,2019-03-31,0.09221652348904145
226,2019-04-30,0.10905772680492917
227,2019-05-31,0.14886004475528436
228,2019-06-30,0.10529857966025191
229,2019-07-31,0.03228179018815085
230,2019-08-31,0.017870951916127673
231,2019-09-30,0.046055642678517035
232,2019-10-31,0.048981347630623666
233,2019-11-30,0.03140159791673636
234,2019-12-31,0.03909726206231689
235,2020-01-31,0.011551917199399898
236,2020-02-29,0.07560203162570266
237,2020-03-31,0.10263463056395436
238,2020-04-30,0.13335607815244424
239,2020-05-31,0.13565128827628328
240,2020-06-30,0.043662309949218436
241,2020-07-31,0.031410785350470705
242,2020-08-31,0.011340595169910686
243,2020-09-30,0.03671291183880027
244,2020-10-31,0.05496139558019836
245,2020-11-30,0.09698221715674153
246,2020-12-31,0.010429113415858811
247,2021-01-31,0.05068365086289499
248,2021-02-28,0.060701664593336216
249,2021-03-31,0.06748038385276106
250,2021-04-30,0.12169492875920808
251,2021-05-31,0.11834107577093818
252,2021-06-30,0.06723851339488673
253,2021-07-31,0.015487106822027115
254,2021-08-31,0.021426265406259862
255,2021-09-30,0.03708703886885142
256,2021-10-31,0.026395337850904067
257,2021-11-30,0.06426080749628692
258,2021-12-31,0.06200279494625787
259,2022-01-31,0.018085713301061363
260,2022-02-28,0.04533007297912041
261,2022-03-31,0.0911263228405168
262,2022-04-30,0.1397547842825916
263,2022-05-31,0.07500026478658202
264,2022-06-30,0.057036958250958995
265,2022-07-31,0.0002822574394041291
266,2022-08-31,0.0008724260253651355
267,2022-09-30,0.037159750224073855
268,2022-10-31,0.07541252480529122
269,2022-11-30,0.05170920101708172
270,2022-12-31,0.022304946354904338
271,2023-01-31,0.01206215378432311
272,2023-02-28,0.02413059495684464
273,2023-03-31,0.11286386267320198
274,2023-04-30,0.11109388294800533
275,2023-05-31,0.10585208016392791
276,2023-06-30,0.07183048097472876
277,2023-07-31,0.013017726409275133
278,2023-08-31,0.01565956635973181
279,2023-09-30,0.03737162952829967
280,2023-10-31,0.048055519446702825
281,2023-11-30,0.030592192997920254
282,2023-12-31,0.01040237744897984
283,2024-01-31,0.01092508510815857
284,2024-02-29,0.050615731876384504
285,2024-03-31,0.07704431659235315
286,2024-04-30,0.12426911285761781
287,2024-05-31,0.09824318722450646
288,2024-06-30,0.05411760132644842
289,2024-07-31,0.013147476055403309
290,2024-08-31,0.0034497305426855044
291,2024-09-30,0.031853711195462125
292,2024-10-31,0.037412040301218606
293,2024-11-30,0.010590475044354033
294,2024-12-31,0.000000000012339616277776991
295,2025-01-31,0.004072980331254998
296,2025-02-28,0.035400304173030195
297,2025-03-31,0.08654198032331871
298,2025-04-30,0.10069555387207033
299,2025-05-31,0.1024007886517366
300,2025-06-30,0.03179989937354468
301,2025-07-31,0.00000000002960467468921519
302,2025-08-31,0.011413548337896493
303,2025-09-30,0.03859465075665725
304,2025-10-31,0.05800478945657214
305,2025-11-30,0.035840630445746
