NDVI,date
0.3789322782821717,2000-02-18
0.4023400479384295,2000-03-05
0.3945840048331694,2000-03-21
0.3788740642846526,2000-04-06
0.3085657550042505,2000-04-22
0.15230450119526284,2000-05-08
0.1913763607600873,2000-05-24
0.1679126079965808,2000-06-09
0.16787670075950487,2000-06-25
0.20701143974443711,2000-07-11
0.22265820313487872,2000-07-27
0.19132782340871876,2000-08-12
0.15226260386131618,2000-08-28
0.1601112937373274,2000-09-13
0.1366565393381149,2000-09-29
0.12092177703884764,2000-10-15
0.10533566517851141,2000-10-31
0.33208852575108544,2000-11-16
0.3008027193551476,2000-12-02
0.33989104111699314,2000-12-18
0.316395170769077,2001-01-01
0.3085773332956287,2001-01-17
0.26962255683525765,2001-02-02
0.28524124391713584,2001-02-18
0.2929639150197901,2001-03-06
0.3398786105024585,2001-03-22
0.3632531115745404,2001-04-07
0.3476832671400065,2001-04-23
0.19919215400357088,2001-05-09
0.18352523562414202,2001-05-25
0.144507361907527,2001-06-10
0.12093517409996486,2001-06-26
0.19134768882394057,2001-07-12
0.1835144174989968,2001-07-28
0.14451165590616655,2001-08-13
0.1444922950684952,2001-08-29
0.15226281608538014,2001-09-14
0.14448972852971673,2001-09-30
0.12872501650291238,2001-10-16
0.2539323447939677,2001-11-01
0.23827535475937714,2001-11-17
0.3243274969589506,2001-12-03
0.3554622379476064,2001-12-19
0.3477038036696008,2002-01-01
0.33981760578027115,2002-01-17
0.3476603339709075,2002-02-02
0.4023240097088685,2002-02-18
0.417937180233101,2002-03-06
0.41806246907265016,2002-03-22
0.4102304199963214,2002-04-07
0.4180586626806974,2002-04-23
0.3320478370352143,2002-05-09
0.2459638012011117,2002-05-25
0.20705230414694314,2002-06-10
0.19144978689797262,2002-06-26
0.2304112134260849,2002-07-12
0.14447209213354173,2002-07-28
0.16013989305147827,2002-08-13
0.25379947878461545,2002-08-29
0.2617929278765467,2002-09-14
0.19134892907797302,2002-09-30
0.1756953946562873,2002-10-16
0.15224817517949962,2002-11-01
0.14449513742022407,2002-11-17
0.10524699967792542,2002-12-03
0.12078862016662795,2002-12-19
0.27732045776138703,2003-01-01
0.18357927410753486,2003-01-17
0.3476622836480302,2003-02-02
0.3867795862374103,2003-02-18
0.39450594071307943,2003-03-06
0.4648883080910272,2003-03-22
0.4960347583653217,2003-04-07
0.48054367959772554,2003-04-23
0.44931319936259817,2003-05-09
0.2773541778880983,2003-05-25
0.32431696002476706,2003-06-10
0.29307979889054125,2003-06-26
0.1679137302865466,2003-07-12
0.1601199953486608,2003-07-28
0.22256785976113708,2003-08-13
0.19922018456076807,2003-08-29
0.1601109207139727,2003-09-14
0.13660955177233303,2003-09-30
0.1287723992856812,2003-10-16
0.10533796955097655,2003-11-01
0.15230465468390358,2003-11-17
0.15223564678760215,2003-12-03
0.08983565683646108,2003-12-19
0.3477030921527695,2004-01-01
0.4414621561192665,2004-01-17
0.43353291294551716,2004-02-02
0.44143143585092215,2004-02-18
0.41799133558371965,2004-03-05
0.4414705316524082,2004-03-21
0.3555859669832873,2004-04-06
0.3710971684499572,2004-04-22
0.31639024577564057,2004-05-08
0.3007765033744114,2004-05-24
0.31647515970151285,2004-06-09
0.17570681308549194,2004-06-25
0.2773684114594034,2004-07-11
0.1992155161962288,2004-07-27
0.17569449001348944,2004-08-12
0.16793220736070175,2004-08-28
0.14446287362427745,2004-09-13
0.26174957510026137,2004-09-29
0.2070684186919881,2004-10-15
0.16011314973963767,2004-10-31
0.17570961313182853,2004-11-16
0.27740288067991986,2004-12-02
0.3867174048886882,2004-12-18
0.42569926194125346,2005-01-01
0.41011276906707017,2005-01-17
0.27115699420830464,2005-02-02
0.44923419553601784,2005-02-18
0.4413675323346051,2005-03-06
0.4804483479735777,2005-03-22
0.47846440312023253,2005-04-07
0.49603722197450345,2005-04-23
0.4726591318380274,2005-05-09
0.44927829018213883,2005-05-25
0.2851602080087495,2005-06-10
0.26178078992915615,2005-06-26
0.19145480166860232,2005-07-12
0.22258700394114386,2005-07-28
0.19924267193985765,2005-08-13
0.18349478893062196,2005-08-29
0.19131891418146624,2005-09-14
0.1678654112021519,2005-09-30
0.12878409958162723,2005-10-16
0.11310815415705296,2005-11-01
0.11312564404965751,2005-11-17
0.11315830943824197,2005-12-03
0.08202108190451354,2005-12-19
0.34771746610411197,2006-01-01
0.27730901559330634,2006-01-17
0.36327495443978075,2006-02-02
0.4726679835497266,2006-02-18
0.4570245384453108,2006-03-06
0.48041484481939783,2006-03-22
0.48827897806063064,2006-04-07
0.4179573157937491,2006-04-23
0.23821705759675268,2006-05-09
0.23044595426368653,2006-05-25
0.2382466524692068,2006-06-10
0.18354544984007087,2006-06-26
0.2226579822534159,2006-07-12
0.2148304834945338,2006-07-28
0.19922936451094092,2006-08-13
0.19920763185231463,2006-08-29
0.1834545367244155,2006-09-14
0.16008929340429617,2006-09-30
0.1522650706601501,2006-10-16
0.15224785875868094,2006-11-01
0.26950323829567585,2006-11-17
0.44931175013758945,2006-12-03
0.4415123505531898,2006-12-19
0.1913224570096182,2007-01-01
0.3554421542868701,2007-01-17
0.32431395290476406,2007-02-02
0.4726858603760692,2007-02-18
0.4647809716805325,2007-03-06
0.4648952746601597,2007-03-22
0.42582832693350803,2007-04-07
0.3868175856609244,2007-04-23
